movieId,reviews,critic_reviews,metascore,Budget,US_and_Canada_Gross,Opening_Weekend,Global_Gross,Runtime,imdb_rating
7982,303,301,65,0,72541,1060,1062878,114,7.1
7983,106,78,82,8000000,10600497,953794,10600497,84,7.4
7984,170,103,60,4500000,1261000,514417,1261000,85,6.6
7986,80,90,0,10000000,1272977,464441,1272977,85,5.4
7987,155,198,55,0,0,0,0,77,6.3
7988,86,32,0,25000000,0,0,0,95,5.4
7991,180,128,58,300000,0,0,0,80,6.2
7993,116,93,0,50000,0,0,0,66,6.7
8008,133,46,49,2352625,0,0,0,108,6.8
8010,85,13,40,18000000,2827107,684358,2827107,127,7.1
8011,44,28,77,0,564632,13984,564632,92,7.5
8012,109,94,44,0,200920,28079,461259,122,7.7
8014,227,80,85,0,2380788,42561,8945072,103,8
8015,55,18,0,2000000,0,0,0,90,6.7
8016,182,88,55,3352254,0,0,9588,123,7.3
8019,198,131,0,0,0,0,1686839,101,6.7
8024,66,21,46,14000000,1029721,433254,1029721,116,6.4
8025,48,38,0,2000000,1126506,33340,1126602,96,7.6
8033,139,41,0,6000000,0,0,0,123,7.5
8035,87,85,42,3800000,0,0,0,120,6
8042,342,100,96,500000,32645,32645,59034,112,7.2
8043,31,12,0,0,5145823,2219891,5145823,99,6.5
8044,456,45,0,195845,0,0,0,92,8.2
8045,140,30,64,0,13839404,3360705,13839404,110,6.7
8057,50,21,53,0,0,0,0,120,7.2
8092,70,52,0,11500000,334748,37017,334748,85,5.4
8093,94,60,50,5000000,98452,29187,135892,125,6.5
8094,198,79,0,1271000,0,0,10813,81,7.7
8117,48,36,0,0,0,0,0,91,7.3
8118,66,39,0,0,6698361,1854379,6698361,111,4.9
8119,110,29,55,0,5839031,2071680,5839031,99,7.1
8121,41,44,59,0,9844180,895699,13743316,108,7.3
8125,291,110,95,200000,0,0,121107,94,8.1
8126,75,67,0,0,0,0,0,101,7.3
8128,120,60,88,0,4542825,0,4575613,104,8
8131,9,6,0,0,6850,1074,6850,93,5.7
8132,48,15,49,20000000,9223441,3305189,9223441,101,6.5
8136,96,50,0,0,0,0,0,72,4.4
8137,122,58,0,50000,0,0,0,63,4.8
8138,121,54,0,70000,0,0,0,62,3.7
8142,75,79,49,500000,0,0,0,105,6.7
8143,35,48,0,650000000,120306,12569,303175,116,7.2
8147,73,39,50,0,15826800,0,18530000,103,6.9
8153,94,62,68,3227000,0,0,0,122,7.3
8154,222,173,95,0,0,0,213703,174,8
8157,73,42,59,0,94591,7098,94591,102,7.3
8158,52,20,66,17000000,7241350,36890,7241350,120,6.7
8167,146,58,89,1200000,0,0,0,119,7.7
8169,99,27,54,25000000,32945797,3326530,65088797,106,6.6
8183,101,28,54,0,14648076,73518,14648076,110,7.2
8188,69,77,96,0,0,0,5267,124,8.4
8189,36,46,0,0,0,0,0,93,6.9
8190,89,31,68,2700000,0,0,0,115,7.3
8191,94,33,0,0,2068232,0,0,145,7.4
8195,136,86,0,0,0,0,2606,144,7.7
8196,168,115,60,900000,0,0,0,109,6.1
8197,130,141,0,0,96439,18494,139947,90,7.8
8199,108,103,0,0,11197,6154,24959,96,8.2
8207,252,75,80,0,16056255,0,0,143,7.8
8225,254,119,54,4200000,5835247,2884679,5835247,92,6.8
8228,54,27,0,0,0,0,0,80,6.8
8232,48,20,0,0,0,0,0,99,7.4
8235,123,90,0,121000,0,0,0,74,8.1
8236,90,35,0,0,0,0,7652,100,6.9
8238,54,29,0,1340000,0,0,0,108,6.9
8239,83,98,0,0,0,0,15522,91,8.1
8241,35,21,0,0,1935539,1014606,1935539,106,5.2
8253,114,101,72,5000000000,142425,0,523161,100,7.6
8254,99,40,62,19000000,112547,6887,112547,142,7.2
8261,107,100,71,1500000,0,0,0,124,7.7
8264,82,84,82,0,36923,13845,36923,95,7.6
8266,145,82,55,7000000,70261052,7766201,70263155,111,6.5
8268,150,36,53,0,30038362,7160389,30038362,109,6.1
8270,51,33,0,0,1217084,0,1217084,82,7.1
8275,47,53,0,0,0,0,0,66,7
8290,125,20,0,0,0,0,0,97,2.7
8293,25,8,0,16000000,17957265,51955,17957265,115,6.1
8302,51,38,76,0,1526000,0,0,101,6.7
8327,65,101,71,0,4067,2067,5405725,114,7.5
8331,103,26,71,1050000,0,0,0,112,7.5
8335,89,62,0,0,0,0,6416,91,8.2
8336,73,58,73,928000,0,0,0,100,7.4
8337,212,50,63,2000000,21750000,0,21750000,124,7.7
8338,196,117,86,280000,0,0,140758,101,7.7
8340,233,86,76,8000000,43000000,5306354,43005351,112,7.6
8341,94,39,84,0,0,0,0,116,7.8
8360,641,195,75,150000000,441226247,108037878,928760770,93,7.3
8361,1300,147,47,125000000,186740799,68743584,552639571,124,6.5
8362,109,88,38,50000000,37486512,10985597,49718611,119,6
8363,166,71,33,16000000,14190750,5648486,14821824,86,4.5
8364,51,92,75,0,365727,45331,365727,109,7.3
8366,338,121,62,5000000,8940582,345136,10275509,92,6.7
8368,1700,297,82,130000000,250105651,93687367,807047946,142,7.9
8369,256,75,33,27000000,4480744,2000000,21148829,106,6.3
8370,201,181,75,0,1118163,61104,34196922,116,7.5
8371,729,108,38,105000000,57761012,24289165,115900534,119,6.6
8372,297,116,27,50000000,75369589,21727611,203172417,80,5
